"X","Y"
190.5,227.9
196.7,230
194.2,223
210.9,229.3
207.6,225.6
186.5,212.1
182,224.5
193.3,223.1
188.2,202.1
196.4,221.3
195.2,233.4
194.1,219.4
195.9,220.3
191.9,212
190.4,217.6
190.9,210.5
193.2,217.4
195.8,223.6
176.7,209.4
192.5,219
194.2,212.1
205.6,222.5
176.6,204.6
202,224.3
182,208.7
189.5,222
189.9,211.5
177.1,217.7
193.7,217
183.6,220.3
182.3,225.4
183.6,218.5
184,216.6
179.8,217.1
193.3,215.5
173.9,217
194.7,232.5
190.3,227.9
179.8,218.1
189,216.6
182.9,215.3
171,214.5
190.3,226.1
201.7,227.2
186.7,211.2
181.8,211.3
190.1,217.5
192.5,228.7
185.1,212.4
190,218.6
185.5,230.3
201.7,240.4
187.4,206.7
186.7,213.2
179.8,213.6
